Seed: 19910691 	Score: 0.799639 	Run time: 15.748401
Seed: 19910692 	Score: 0.823232 	Run time: 2.818641
Seed: 19910693 	Score: 0.744681 	Run time: 0.899139
Seed: 19910694 	Score: 0.750000 	Run time: 0.101097
Seed: 19910695 	Score: 0.714602 	Run time: 7.502243
Seed: 19910696 	Score: 0.673913 	Run time: 0.192188
Seed: 19910697 	Score: 0.757143 	Run time: 0.564903
Seed: 19910698 	Score: 0.895349 	Run time: 2.065710
Seed: 19910699 	Score: 0.703422 	Run time: 9.090128
Seed: 19910700 	Score: 0.527778 	Run time: 0.043533
Seed: 19910701 	Score: 0.821212 	Run time: 3.693828
Seed: 19910702 	Score: 0.764925 	Run time: 1.566184
Seed: 19910703 	Score: 0.700000 	Run time: 2.859317
Seed: 19910704 	Score: 0.830769 	Run time: 0.494453
Seed: 19910705 	Score: 0.714286 	Run time: 0.086561
Seed: 19910706 	Score: 0.780822 	Run time: 12.480378
Seed: 19910707 	Score: 0.684211 	Run time: 0.601427
Seed: 19910708 	Score: 0.750000 	Run time: 0.677547
Seed: 19910709 	Score: 0.807692 	Run time: 13.209502
Seed: 19910710 	Score: 0.762500 	Run time: 3.705740
Seed: 19910711 	Score: 0.871308 	Run time: 6.801304
Seed: 19910712 	Score: 0.833333 	Run time: 4.133353
Seed: 19910713 	Score: 0.801802 	Run time: 1.456601
Seed: 19910714 	Score: 0.780000 	Run time: 0.350751
Seed: 19910715 	Score: 0.741667 	Run time: 5.423052
Seed: 19910716 	Score: 0.778947 	Run time: 1.097788
Seed: 19910717 	Score: 0.838710 	Run time: 1.012697
Seed: 19910718 	Score: 0.533333 	Run time: 0.062044
Seed: 19910719 	Score: 0.661905 	Run time: 1.131305
Seed: 19910720 	Score: 0.722603 	Run time: 3.585355
Seed: 19910721 	Score: 0.713911 	Run time: 13.556790
Seed: 19910722 	Score: 0.555556 	Run time: 0.107117
Seed: 19910723 	Score: 0.740876 	Run time: 2.731557
Seed: 19910724 	Score: 0.909091 	Run time: 0.067656
Seed: 19910725 	Score: 0.760000 	Run time: 0.177626
Seed: 19910726 	Score: 0.740741 	Run time: 0.118584
Seed: 19910727 	Score: 0.824324 	Run time: 15.663886
Seed: 19910728 	Score: 0.814159 	Run time: 4.487838
Seed: 19910729 	Score: 0.730769 	Run time: 3.493283
Seed: 19910730 	Score: 0.852349 	Run time: 7.242015
Seed: 19910731 	Score: 0.806452 	Run time: 0.135601
Seed: 19910732 	Score: 0.681034 	Run time: 0.300245
Seed: 19910733 	Score: 0.826923 	Run time: 1.887948
Seed: 19910734 	Score: 0.870968 	Run time: 1.337469
Seed: 19910735 	Score: 0.833333 	Run time: 0.065046
Seed: 19910736 	Score: 0.637931 	Run time: 0.209649
Seed: 19910737 	Score: 0.750000 	Run time: 2.220720
Seed: 19910738 	Score: 0.736842 	Run time: 1.421044
Seed: 19910739 	Score: 0.799296 	Run time: 4.253725
Seed: 19910740 	Score: 0.833333 	Run time: 4.931746
Seed: 19910741 	Score: 0.814159 	Run time: 0.735640
Seed: 19910742 	Score: 0.780269 	Run time: 8.723521
Seed: 19910743 	Score: 0.741935 	Run time: 0.242182
Seed: 19910744 	Score: 0.814286 	Run time: 0.386825
Seed: 19910745 	Score: 0.552632 	Run time: 0.050052
Seed: 19910746 	Score: 0.755556 	Run time: 0.523417
Seed: 19910747 	Score: 0.691860 	Run time: 1.080282
Seed: 19910748 	Score: 0.785714 	Run time: 1.640786
Seed: 19910749 	Score: 0.815789 	Run time: 0.306217
Seed: 19910750 	Score: 0.826923 	Run time: 4.386779
Seed: 19910751 	Score: 0.792254 	Run time: 2.475420
Seed: 19910752 	Score: 0.816667 	Run time: 11.784560
Seed: 19910753 	Score: 0.608696 	Run time: 0.371285
Seed: 19910754 	Score: 0.778846 	Run time: 2.163786
Seed: 19910755 	Score: 0.823529 	Run time: 0.157611
Seed: 19910756 	Score: 0.642045 	Run time: 1.337978
Seed: 19910757 	Score: 0.671429 	Run time: 0.256181
Seed: 19910758 	Score: 0.798013 	Run time: 2.557500
Seed: 19910759 	Score: 0.831658 	Run time: 6.345613
Seed: 19910760 	Score: 0.793774 	Run time: 6.549280
Seed: 19910761 	Score: 0.753968 	Run time: 0.446818
Seed: 19910762 	Score: 0.625000 	Run time: 0.040028
Seed: 19910763 	Score: 0.752632 	Run time: 0.593922
Seed: 19910764 	Score: 0.832685 	Run time: 17.038592
Seed: 19910765 	Score: 0.830729 	Run time: 3.308551
Seed: 19910766 	Score: 0.811111 	Run time: 1.588217
Seed: 19910767 	Score: 0.878049 	Run time: 0.104660
Seed: 19910768 	Score: 0.818182 	Run time: 0.081057
Seed: 19910769 	Score: 0.867925 	Run time: 0.668985
Seed: 19910770 	Score: 0.670635 	Run time: 1.282420
Seed: 19910771 	Score: 0.761905 	Run time: 0.713515
Seed: 19910772 	Score: 0.855330 	Run time: 10.231991
Seed: 19910773 	Score: 0.840000 	Run time: 0.072058
Seed: 19910774 	Score: 0.829787 	Run time: 0.296720
Seed: 19910775 	Score: 0.762238 	Run time: 6.535268
Seed: 19910776 	Score: 0.858736 	Run time: 6.284407
Seed: 19910777 	Score: 0.852761 	Run time: 2.838111
Seed: 19910778 	Score: 0.808642 	Run time: 19.049453
Seed: 19910779 	Score: 0.763636 	Run time: 1.665185
Seed: 19910780 	Score: 0.681319 	Run time: 1.494637
Seed: 19910781 	Score: 0.862745 	Run time: 0.496353
Seed: 19910782 	Score: 0.792264 	Run time: 14.652928
Seed: 19910783 	Score: 0.594595 	Run time: 0.044031
Seed: 19910784 	Score: 0.806897 	Run time: 8.451761
Seed: 19910785 	Score: 0.766187 	Run time: 10.379831
Seed: 19910786 	Score: 0.667598 	Run time: 4.445736
Seed: 19910787 	Score: 0.794393 	Run time: 12.667136
Seed: 19910788 	Score: 0.857143 	Run time: 4.653068
Seed: 19910789 	Score: 0.846875 	Run time: 5.591976
Seed: 19910790 	Score: 0.705882 	Run time: 0.205145
Seed: 19910791 	Score: 0.803922 	Run time: 1.760271
Seed: 19910792 	Score: 0.777500 	Run time: 16.207272
